Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,total_duration,total_pages,avg_duration_per_page,product_page_ratio,productrelated_intent,total_duration_level,is_returning
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,2,1,1,3,1,Returning_Visitor,0,0,183.67,10,18.37,1.0,low,low,1
0,0.0,0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,2,2,2,1,1,Returning_Visitor,0,0,380.5,14,27.18,1.0,medium,medium,1
0,0.0,0,0.0,52,2086.242857,0.015384615,0.020352564,0.0,0.0,2,2,2,7,1,Returning_Visitor,0,0,2086.24,52,40.12,1.0,very_high,very_high,1
0,0.0,0,0.0,8,388.0,0.025,0.05625,0.0,0.0,2,3,2,1,4,Returning_Visitor,1,0,388.0,8,48.5,1.0,medium,medium,1
2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,2,2,2,8,4,Returning_Visitor,0,0,316.0,7,45.14,0.7142857142857143,medium,medium,1
0,0.0,0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,2,2,2,1,3,Returning_Visitor,0,0,63.0,7,9.0,1.0,low,low,1
0,0.0,0,0.0,9,482.0,0.0,0.022222222,0.0,0.0,2,2,5,1,6,Returning_Visitor,0,0,482.0,9,53.56,1.0,medium,medium,1
1,9.0,0,0.0,46,4084.393939,0.0,0.001794872,0.0,0.0,2,2,2,8,4,Returning_Visitor,0,0,4093.39,47,87.09,0.9787234042553191,very_high,very_high,1
0,0.0,0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,2,1,1,3,2,Returning_Visitor,0,0,22.0,3,7.33,1.0,low,low,1
0,0.0,0,0.0,15,310.1666667,0.0,0.006666667,0.0,0.0,2,1,1,4,4,Returning_Visitor,0,0,310.17,15,20.68,1.0,medium,medium,1
0,0.0,0,0.0,2,34.0,0.0,0.05,0.0,0.4,2,3,2,2,3,Returning_Visitor,0,0,34.0,2,17.0,1.0,low,low,1
0,0.0,0,0.0,4,88.0,0.0,0.05,0.0,0.0,2,4,1,1,3,Returning_Visitor,0,0,88.0,4,22.0,1.0,low,low,1
0,0.0,0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,2,2,5,1,4,Returning_Visitor,0,0,622.25,22,28.28,1.0,high,medium,1
0,0.0,0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,2,1,1,1,2,Returning_Visitor,0,0,222.4,14,15.89,1.0,medium,medium,1
0,0.0,0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,2,3,2,1,3,Returning_Visitor,0,0,80.0,3,26.67,1.0,low,low,1
0,0.0,0,0.0,11,800.8333333,0.0,0.003636364,0.0,0.0,2,3,2,1,3,Returning_Visitor,0,0,800.83,11,72.8,1.0,high,high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,2,2,3,2,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,3,4,Returning_Visitor,1,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,12,265.1666667,0.011111111,0.026111111,0.0,0.2,2,3,2,1,3,Returning_Visitor,0,0,265.17,12,22.1,1.0,medium,medium,1
0,0.0,0,0.0,2,29.0,0.0,0.1,0.0,1.0,2,2,4,4,2,Returning_Visitor,1,0,29.0,2,14.5,1.0,low,low,1
0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,2,4,2,2,3,Returning_Visitor,0,0,160.0,4,40.0,1.0,low,low,1
0,0.0,0,0.0,4,135.6666667,0.05,0.025,0.0,0.4,2,3,3,1,4,Returning_Visitor,0,0,135.67,4,33.92,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,2,2,4,1,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,3,2,3,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
4,56.0,2,120.0,36,998.7416667,0.0,0.014736467,19.44707913,0.2,2,2,2,4,1,Returning_Visitor,0,0,1174.74,42,27.97,0.8571428571428571,high,high,1
0,0.0,0,0.0,4,104.0,0.0,0.05,0.0,0.4,2,2,6,6,3,Returning_Visitor,0,0,104.0,4,26.0,1.0,low,low,1
2,16.0,0,0.0,16,381.6865079,0.011764706,0.046568627,0.0,0.6,2,2,4,2,1,Returning_Visitor,0,0,397.69,18,22.09,0.8888888888888888,medium,medium,1
0,0.0,0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,2,1,1,3,3,Returning_Visitor,0,0,169.0,6,28.17,1.0,low,low,1
0,0.0,0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,400.8,8,50.1,1.0,medium,medium,1
12,279.4166667,0,0.0,42,1553.583333,0.009,0.019666667,38.30849268,0.0,2,1,1,3,2,Returning_Visitor,0,0,1833.0,54,33.94,0.7777777777777778,very_high,very_high,1
0,0.0,0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,2,2,2,5,4,Returning_Visitor,1,0,706.5,14,50.46,1.0,high,high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,4,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
3,87.83333333,0,0.0,27,798.3333333,0.0,0.012643678,22.9160357,0.8,2,2,2,3,1,Returning_Visitor,0,1,886.17,30,29.54,0.9,high,high,1
4,44.0,0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0.0,2,4,1,1,3,Returning_Visitor,0,0,6995.97,94,74.43,0.9574468085106383,very_high,very_high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,2,2,5,1,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,18,902.0,0.0,0.007407407,0.0,0.0,2,2,7,2,4,Returning_Visitor,0,0,902.0,18,50.11,1.0,high,high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,2,3,2,3,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,6,1,2,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,2,2,6,6,1,Returning_Visitor,0,0,197.38,20,9.87,1.0,medium,low,1
0,0.0,0,0.0,2,43.0,0.0,0.1,0.0,0.4,2,2,2,3,3,Returning_Visitor,0,0,43.0,2,21.5,1.0,low,low,1
0,0.0,0,0.0,8,426.6666667,0.0,0.0125,0.0,0.0,2,2,4,3,2,Returning_Visitor,0,0,426.67,8,53.33,1.0,medium,medium,1
0,0.0,0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,2,2,4,3,3,Returning_Visitor,0,0,135.0,3,45.0,1.0,low,low,1
0,0.0,0,0.0,16,588.3333333,0.0,0.025,0.0,0.0,2,2,4,1,1,Returning_Visitor,0,0,588.33,16,36.77,1.0,medium,medium,1
10,1005.666667,0,0.0,36,2111.341667,0.004347826,0.014492754,11.43941195,0.0,2,2,6,1,2,Returning_Visitor,0,1,3117.01,46,67.76,0.782608695652174,very_high,very_high,1
0,0.0,0,0.0,2,76.0,0.0,0.05,0.0,0.6,2,3,2,3,3,Returning_Visitor,0,0,76.0,2,38.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1.0,2,1,1,1,3,Returning_Visitor,1,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,1,1,1,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,7,208.0,0.0,0.028571429,0.0,0.0,2,4,1,1,5,Returning_Visitor,1,0,208.0,7,29.71,1.0,medium,low,1
0,0.0,0,0.0,4,270.0,0.0,0.016666667,0.0,0.8,2,1,1,1,3,Returning_Visitor,0,0,270.0,4,67.5,1.0,medium,medium,1
0,0.0,0,0.0,6,39.5,0.0,0.02,0.0,0.0,2,2,2,1,3,Returning_Visitor,0,0,39.5,6,6.58,1.0,low,low,1
0,0.0,0,0.0,12,375.0,0.016666667,0.058333333,0.0,0.0,2,3,2,4,1,Returning_Visitor,0,0,375.0,12,31.25,1.0,medium,medium,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,2,2,2,2,1,Returning_Visitor,1,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,7,150.0,0.057142857,0.085714286,0.0,0.0,2,2,2,2,1,Returning_Visitor,0,0,150.0,7,21.43,1.0,low,low,1
0,0.0,0,0.0,3,138.0,0.0,0.066666667,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,138.0,3,46.0,1.0,low,low,1
0,0.0,0,0.0,7,337.5,0.028571429,0.023809524,0.0,0.4,2,4,1,3,3,Returning_Visitor,0,0,337.5,7,48.21,1.0,medium,medium,1
0,0.0,0,0.0,19,620.0333333,0.0,0.007894737,0.0,0.0,2,1,1,4,2,Returning_Visitor,0,0,620.03,19,32.63,1.0,high,medium,1
2,36.0,0,0.0,15,168.8461538,0.0,0.011764706,0.0,0.4,2,1,1,1,3,Returning_Visitor,0,0,204.85,17,12.05,0.8823529411764706,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,2,Returning_Visitor,1,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,2,52.0,0.0,0.1,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,52.0,2,26.0,1.0,low,low,1
0,0.0,0,0.0,13,649.25,0.0,0.015384615,0.0,0.0,2,2,2,1,5,New_Visitor,0,0,649.25,13,49.94,1.0,high,medium,0
0,0.0,0,0.0,27,925.3333333,0.003703704,0.025925926,0.0,0.6,2,4,1,3,3,Returning_Visitor,0,0,925.33,27,34.27,1.0,high,high,1
0,0.0,0,0.0,2,33.0,0.0,0.1,0.0,0.2,2,1,1,1,3,Returning_Visitor,0,0,33.0,2,16.5,1.0,low,low,1
0,0.0,0,0.0,6,1566.5,0.05,0.066666667,0.0,0.2,2,1,1,1,3,Returning_Visitor,0,0,1566.5,6,261.08,1.0,very_high,high,1
0,0.0,0,0.0,4,105.0,0.0,0.025,0.0,0.6,2,1,1,1,4,Returning_Visitor,0,0,105.0,4,26.25,1.0,low,low,1
0,0.0,1,0.0,7,50.0,0.038095238,0.080952381,0.0,0.6,2,2,4,1,7,Returning_Visitor,0,0,50.0,8,6.25,0.875,low,low,1
0,0.0,0,0.0,16,644.2,0.004166667,0.031666667,0.0,0.0,2,3,2,3,4,Returning_Visitor,0,0,644.2,16,40.26,1.0,high,medium,1
3,18.33333333,0,0.0,38,2635.177778,0.0,0.008947368,0.0,0.4,2,2,4,1,2,Returning_Visitor,0,0,2653.51,41,64.72,0.926829268292683,very_high,very_high,1
4,61.0,0,0.0,19,607.0,0.0,0.026984127,17.53595893,1.0,2,1,1,7,4,Returning_Visitor,1,1,668.0,23,29.04,0.8260869565217391,high,medium,1
0,0.0,0,0.0,6,415.0,0.0,0.033333333,0.0,0.4,2,1,1,3,2,Returning_Visitor,0,0,415.0,6,69.17,1.0,medium,medium,1
2,31.0,1,16.0,36,2083.530952,0.0,0.01351025,0.0,0.8,2,2,2,4,3,Returning_Visitor,0,0,2130.53,39,54.63,0.9230769230769231,very_high,very_high,1
3,58.5,0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0.0,2,1,1,3,4,Returning_Visitor,0,0,340.17,20,17.01,0.85,medium,medium,1
0,0.0,0,0.0,2,27.0,0.15,0.15,0.0,0.0,2,1,1,7,2,Returning_Visitor,0,0,27.0,2,13.5,1.0,low,low,1
0,0.0,1,0.0,9,215.0,0.044444444,0.074074074,0.0,0.8,2,4,1,1,3,Returning_Visitor,0,0,215.0,10,21.5,0.9,medium,low,1
0,0.0,0,0.0,12,162.0,0.05,0.066666667,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,162.0,12,13.5,1.0,low,low,1
0,0.0,0,0.0,2,114.0,0.05,0.066666667,0.0,0.8,2,3,3,1,3,Returning_Visitor,0,0,114.0,2,57.0,1.0,low,low,1
6,326.25,4,94.0,128,5062.213753,0.000854701,0.01791847,0.0,0.0,2,2,5,1,3,Returning_Visitor,0,0,5482.46,138,39.73,0.927536231884058,very_high,very_high,1
0,0.0,0,0.0,4,253.0,0.0,0.016666667,0.0,0.6,2,2,2,3,3,Returning_Visitor,0,0,253.0,4,63.25,1.0,medium,medium,1
0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,0.4,2,2,2,1,3,Returning_Visitor,0,0,0.0,4,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,2,1,1,2,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
2,22.0,0,0.0,25,436.5,0.008,0.024,0.0,0.2,2,2,4,1,1,Returning_Visitor,0,0,458.5,27,16.98,0.9259259259259259,medium,medium,1
0,0.0,1,93.0,30,1045.833333,0.012903226,0.035483871,0.0,0.2,2,1,1,1,3,Returning_Visitor,0,0,1138.83,31,36.74,0.967741935483871,high,high,1
0,0.0,0,0.0,12,317.8333333,0.0,0.005555556,0.0,0.0,2,1,1,1,4,Returning_Visitor,1,0,317.83,12,26.49,1.0,medium,medium,1
0,0.0,0,0.0,21,1146.333333,0.0,0.012962963,0.0,0.8,2,3,2,1,3,Returning_Visitor,0,0,1146.33,21,54.59,1.0,high,high,1
0,0.0,0,0.0,11,577.0,0.018181818,0.027272727,0.0,0.2,2,2,2,3,1,Returning_Visitor,0,0,577.0,11,52.45,1.0,medium,medium,1
0,0.0,0,0.0,8,95.0,0.0,0.075,0.0,0.0,2,4,1,3,3,Returning_Visitor,0,0,95.0,8,11.88,1.0,low,low,1
0,0.0,0,0.0,6,301.5,0.0,0.111111111,0.0,0.0,2,2,4,9,3,Returning_Visitor,0,0,301.5,6,50.25,1.0,medium,medium,1
0,0.0,0,0.0,6,243.0,0.0,0.033333333,0.0,0.0,2,2,4,4,1,Returning_Visitor,0,0,243.0,6,40.5,1.0,medium,medium,1
0,0.0,0,0.0,4,135.5,0.0,0.05,0.0,0.6,2,2,2,1,2,Returning_Visitor,0,0,135.5,4,33.88,1.0,low,low,1
0,0.0,2,75.0,14,442.3333333,0.0,0.034375,0.0,0.8,2,1,1,3,3,Returning_Visitor,0,0,517.33,16,32.33,0.875,medium,medium,1
0,0.0,0,0.0,3,41.0,0.0,0.066666667,0.0,0.0,2,1,1,3,3,Returning_Visitor,0,0,41.0,3,13.67,1.0,low,low,1
0,0.0,0,0.0,11,292.9,0.028,0.11952381,0.0,0.0,2,2,4,3,1,Returning_Visitor,0,0,292.9,11,26.63,1.0,medium,medium,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,3,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,9,1238.333333,0.0,0.040740741,0.0,0.4,2,2,2,1,3,Returning_Visitor,0,0,1238.33,9,137.59,1.0,high,high,1
0,0.0,0,0.0,10,225.4666667,0.0,0.05,0.0,0.4,2,1,1,8,3,Returning_Visitor,0,0,225.47,10,22.55,1.0,medium,medium,1
4,462.0,0,0.0,51,1873.216667,0.0,0.00754717,0.0,0.6,2,2,2,9,3,Returning_Visitor,0,0,2335.22,55,42.46,0.9272727272727272,very_high,very_high,1
0,0.0,0,0.0,3,13.0,0.133333333,0.166666667,0.0,0.0,2,2,4,1,1,Returning_Visitor,0,0,13.0,3,4.33,1.0,low,low,1
0,0.0,0,0.0,2,222.0,0.0,0.1,0.0,0.0,2,2,6,1,2,Returning_Visitor,1,0,222.0,2,111.0,1.0,medium,low,1
2,20.0,0,0.0,16,214.8333333,0.0,0.022222222,0.0,0.0,2,2,2,1,6,Returning_Visitor,0,0,234.83,18,13.05,0.8888888888888888,medium,medium,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,3,2,3,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,6,2017.166667,0.0,0.011111111,0.0,0.8,2,2,2,4,3,Returning_Visitor,0,0,2017.17,6,336.2,1.0,very_high,very_high,1
6,111.5,0,0.0,26,449.0277778,0.0,0.018518519,0.0,0.6,2,1,1,3,3,Returning_Visitor,0,0,560.53,32,17.52,0.8125,medium,medium,1
0,0.0,0,0.0,6,158.1666667,0.0,0.033333333,0.0,0.0,2,3,2,4,2,Returning_Visitor,0,0,158.17,6,26.36,1.0,low,low,1
0,0.0,0,0.0,9,303.6666667,0.005555556,0.046296296,0.0,0.0,2,2,4,5,2,Returning_Visitor,0,0,303.67,9,33.74,1.0,medium,medium,1
0,0.0,0,0.0,3,25.0,0.0,0.066666667,0.0,0.0,2,2,4,1,5,Returning_Visitor,0,0,25.0,3,8.33,1.0,low,low,1
0,0.0,0,0.0,2,42.0,0.05,0.15,0.0,0.4,2,2,2,1,4,Returning_Visitor,0,0,42.0,2,21.0,1.0,low,low,1
4,103.625,0,0.0,14,1003.416667,0.0,0.018039216,0.0,0.2,2,1,1,3,3,Returning_Visitor,0,0,1107.04,18,61.5,0.7777777777777778,high,high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,7,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,9,272.5,0.0,0.011851852,0.0,0.2,2,1,1,6,3,Returning_Visitor,0,0,272.5,9,30.28,1.0,medium,medium,1
3,19.0,0,0.0,8,344.0,0.0,0.007407407,0.0,0.0,2,2,4,2,3,Returning_Visitor,0,0,363.0,11,33.0,0.7272727272727273,medium,medium,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,2,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,1,19.0,10,852.0,0.0,0.009090909,0.0,0.0,2,2,2,3,6,Returning_Visitor,0,0,871.0,11,79.18,0.9090909090909091,high,high,1
0,0.0,0,0.0,3,780.0,0.066666667,0.066666667,0.0,0.4,2,2,4,1,3,Returning_Visitor,0,0,780.0,3,260.0,1.0,high,high,1
0,0.0,0,0.0,3,1038.0,0.0,0.033333333,0.0,0.0,2,2,2,1,1,Returning_Visitor,0,0,1038.0,3,346.0,1.0,high,high,1
0,0.0,0,0.0,4,573.0,0.0,0.05,0.0,0.0,2,2,2,3,3,Returning_Visitor,0,0,573.0,4,143.25,1.0,medium,medium,1
0,0.0,0,0.0,28,1231.233333,0.007142857,0.030357143,0.0,0.0,2,1,1,4,3,Returning_Visitor,0,0,1231.23,28,43.97,1.0,high,high,1
0,0.0,0,0.0,11,316.6666667,0.0,0.027272727,0.0,0.8,2,2,2,2,1,Returning_Visitor,0,0,316.67,11,28.79,1.0,medium,medium,1
0,0.0,0,0.0,20,873.7365079,0.0075,0.028166667,0.0,0.0,2,1,2,1,1,Returning_Visitor,0,0,873.74,20,43.69,1.0,high,high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,2,3,4,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,4,16.0,0.1,0.15,0.0,0.0,2,2,5,5,1,Returning_Visitor,0,0,16.0,4,4.0,1.0,low,low,1
0,0.0,0,0.0,19,615.0,0.0,0.026315789,0.0,0.2,2,2,2,3,3,Returning_Visitor,0,0,615.0,19,32.37,1.0,high,medium,1
0,0.0,0,0.0,9,261.75,0.0,0.026666667,0.0,0.0,2,2,6,1,1,Returning_Visitor,0,0,261.75,9,29.08,1.0,medium,medium,1
0,0.0,0,0.0,21,615.8831169,0.033333333,0.04993081,0.0,0.0,2,3,2,2,1,Returning_Visitor,1,0,615.88,21,29.33,1.0,high,medium,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,3,3,3,2,Returning_Visitor,1,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,6,117.5,0.0,0.033333333,0.0,0.8,2,1,1,1,3,Returning_Visitor,1,0,117.5,6,19.58,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,3,2,3,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,23,501.6666667,0.008695652,0.01884058,0.0,0.6,2,1,1,4,2,Returning_Visitor,0,0,501.67,23,21.81,1.0,medium,medium,1
2,58.0,2,22.0,31,829.1666667,0.03030303,0.040606061,0.0,0.0,2,1,1,1,1,Returning_Visitor,1,0,909.17,35,25.98,0.8857142857142857,high,high,1
1,9.5,0,0.0,23,1223.0,0.015217391,0.012463768,0.0,0.0,2,1,1,1,2,Returning_Visitor,1,0,1232.5,24,51.35,0.9583333333333334,high,high,1
0,0.0,0,0.0,6,467.0,0.0,0.016666667,0.0,0.4,2,1,1,3,3,Returning_Visitor,0,0,467.0,6,77.83,1.0,medium,medium,1
0,0.0,0,0.0,23,737.1666667,0.008695652,0.011594203,0.0,0.6,2,2,2,1,3,Returning_Visitor,0,0,737.17,23,32.05,1.0,high,high,1
0,0.0,0,0.0,12,129.0,0.0,0.033333333,0.0,0.0,2,1,1,3,2,Returning_Visitor,0,0,129.0,12,10.75,1.0,low,low,1
0,0.0,0,0.0,5,63.0,0.0,0.04,0.0,0.0,2,2,2,1,3,Returning_Visitor,0,0,63.0,5,12.6,1.0,low,low,1
0,0.0,0,0.0,5,125.0,0.086666667,0.166666667,0.0,0.0,2,2,2,1,3,Returning_Visitor,0,0,125.0,5,25.0,1.0,low,low,1
